# Dec(deg) RA(deg) MueE(photon*m)  NChan   AngErrorEstimate(deg)   MJD
47.241 24.475 1444.000 16 0.503 54844.39719313
23.124 326.358 4186.962 21 0.810 54844.42984146
45.081 54.663 2373.258 22 0.737 54844.44246157
0.421 223.382 2759.000 23 0.824 54844.44717127
6.825 330.552 3865.370 24 2.286 54844.45003171
40.246 256.269 1809.424 19 1.589 54844.46442766
2.812 282.734 3669.557 19 2.815 54844.54135081
7.295 318.945 6643.690 34 0.889 54844.54823241
9.728 64.547 1683.950 23 0.951 54844.56743250
11.100 95.947 1125.240 14 1.298 54844.56838273
2.979 234.331 2275.566 37 0.892 54844.57355041
16.642 86.758 1700.096 23 0.553 54844.58228581
63.454 217.827 2015.837 12 1.322 54844.58482030
4.667 259.837 5541.488 48 0.795 54844.64408309
18.736 82.310 17804.070 79 0.527 54844.64637923
71.388 245.251 1187.509 21 0.495 54844.65806165
68.774 249.743 846.469 12 0.705 54844.66920139
10.654 131.736 1586.870 17 1.664 54844.70548051
35.068 75.475 1435.594 22 0.559 54844.70732882
40.562 307.506 1621.037 22 0.416 54844.73760239
9.504 179.969 6507.386 45 0.881 54844.73876493
39.754 317.002 6453.771 23 1.833 54844.75557991
4.499 204.371 14916.331 27 1.450 54844.78592173
2.164 259.574 3395.072 23 2.877 54844.88563374
26.479 162.382 1072.575 20 0.742 54844.92132446
13.498 304.867 2143.647 17 0.749 54844.92746617
33.886 42.774 4807.066 47 0.890 54844.93069985
42.235 63.192 3942.709 27 0.756 54844.95561342
58.510 214.584 2779.774 27 1.735 54844.96291568
32.395 166.631 8432.842 37 0.917 54844.99481511
10.325 48.036 6180.263 19 0.322 54845.00836616
13.717 74.872 3110.466 26 0.704 54845.00962322
74.474 244.166 2531.864 27 1.550 54845.02121043
44.685 330.932 1404.433 19 1.201 54845.03893703
2.806 233.237 2440.974 19 0.401 54845.07157138
7.769 280.857 14600.384 38 1.940 54845.08372105
52.448 179.994 930.171 16 0.973 54845.08392154
26.303 290.302 4457.162 58 0.484 54845.12423129
1.288 133.113 722.973 16 1.017 54845.15791984
19.226 104.947 2045.541 23 1.129 54845.26668941
55.177 27.994 1671.738 21 0.809 54845.35105088
20.950 192.721 1300.923 20 0.584 54845.36153955
47.232 316.745 2060.858 20 1.878 54845.80015290
33.120 325.210 5561.015 24 1.689 54845.81131746
10.155 208.418 5224.619 26 0.855 54845.82655530
3.220 194.286 2071.931 20 1.129 54845.84511665
19.682 344.743 9597.204 27 1.173 54845.87145626
22.215 80.782 1495.177 14 1.922 54845.92069626
2.402 245.191 4953.080 14 1.308 54845.96229110
0.022 185.294 3716.066 41 0.606 54845.96846971
20.083 136.524 1782.013 14 1.081 54845.98994632
4.373 190.685 2108.684 22 1.693 54845.99879125
41.406 219.665 1118.485 21 1.160 54846.00012104
9.453 140.587 21708.641 65 0.844 54846.00719541
22.357 192.968 3965.819 18 1.699 54846.01565685
26.850 269.376 1707.551 16 1.355 54846.05065057
9.359 53.446 1509.709 24 2.236 54846.07252259
38.767 38.605 2841.501 23 1.109 54846.08505892
10.041 74.328 1217.236 20 1.032 54846.17341844
45.423 306.948 1125.782 15 0.668 54846.19989135
43.430 348.565 936.717 16 1.244 54846.21205128
59.906 105.343 3501.636 36 0.532 54846.22139745
38.916 305.218 2872.562 27 0.908 54846.22994362
11.289 200.369 11357.699 38 1.359 54846.23269785
45.144 331.471 1231.698 25 1.002 54846.23530632
9.072 14.565 13533.293 39 2.022 54846.25657674
12.136 340.936 3725.226 43 0.546 54846.27159193
26.225 344.734 972.037 23 0.668 54846.31836160
46.751 316.707 2130.840 28 0.580 54846.40859620
8.631 232.433 2143.196 30 0.699 54846.44534921
62.168 303.488 1728.872 18 0.500 54846.46066179
7.819 102.228 38548.587 63 0.919 54846.46562967
50.371 286.188 1449.758 15 1.423 54847.09220105
45.467 173.809 1468.809 16 0.630 54847.11274529
38.835 275.089 1699.884 18 1.487 54847.12623714
3.396 282.086 2723.604 31 0.540 54847.14102624
0.247 323.590 1677.435 23 1.271 54847.14734975
15.437 27.089 2784.144 18 2.317 54847.15918297
56.642 29.164 1186.292 20 1.294 54847.16247178
60.646 116.867 2414.849 15 0.949 54847.23437973
23.564 9.121 3053.596 28 0.866 54847.23518177
33.453 208.989 1956.074 16 1.290 54847.27872062
68.185 308.011 954.552 20 1.545 54847.36159338
44.981 91.722 999.545 20 1.848 54847.36346900
6.698 350.953 3899.186 22 1.385 54847.37323399
